Million tonnes oil equivalent,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Total
,,,,,,,
US,907.6,645.1,340.6,191.9,59.7,83.1,2228
Canada,107,94.1,18.9,21.8,87.6,9.6,339
Mexico,90.1,79,12.4,2.4,6.9,4.1,194.9
Total North America,1104.6,818.2,371.9,216.1,154.2,96.8,2761.9
,,,,,,,
Argentina,32.7,41.6,1,1.9,8.7,0.7,86.6
Brazil,135.7,32.4,15.9,3.6,86.2,19.1,293
Chile,18.1,5.1,7.4,-,4.5,2.5,37.6
Colombia,16.5,9.2,5.5,-,10.6,0.4,42.1
Ecuador,11.5,0.6,-,-,3.6,0.1,15.8
Peru,11.8,6.5,1,-,5.4,0.6,25.3
Trinidad & Tobago,2.2,16,-,-,-,^,18.2
Venezuela,26,33,0.3,-,15,^,74.3
Other S. & Cent. America,66.1,6.3,3.8,-,22.6,5.2,103.9
Total S. & Cent. America,320.8,150.6,34.9,5.5,156.4,28.6,696.8
Austria,13.3,7.1,3,-,9,2.5,34.9
Belgium,32.5,13.9,3,9.8,0.1,3.1,62.4
Czech Republic,8.6,7,16.6,5.5,0.5,1.7,39.8
Finland,10,1.7,4.4,5.3,3.6,3.3,28.3
France,79.2,38.3,8.2,91.2,13.6,8.4,238.9
Germany,117.3,73,75.8,19.2,4.6,38.3,328.2
Greece,15.4,3.4,4.4,-,1.3,2.1,26.6
Hungary,7.3,8,2.3,3.6,0.1,0.7,22
Italy,59.8,58.5,11,-,9.6,14.8,153.8
Netherlands,41.1,29.7,10.2,0.9,^,3.3,85.2
Norway,10.1,3.8,0.8,-,32.2,0.5,47.3
Poland,29.2,15.7,49.5,-,0.5,4.7,99.5
Portugal,12,4.4,3.2,-,3.6,3.7,26.8
Romania,9.9,8.9,5.3,2.6,4.1,2,32.8
Spain,64.2,25,10.5,13.3,8.2,15.4,136.7
Sweden,15.5,0.8,2.1,14.3,14,6.1,52.8
Switzerland,10.6,2.7,0.1,5.2,7.9,0.7,27.3
Turkey,47.1,38.2,38.5,-,15.2,5.4,144.4
United Kingdom,76.3,69.6,11.2,16.2,1.2,17.6,192.2
Other Europe,60,24.8,35.3,8.2,16.8,9.8,155
Total Europe,719.3,434.7,295.1,195.2,146.1,144.2,1934.6
Azerbaijan,4.7,9.4,^,-,0.4,^,14.6
Belarus,6.8,15.2,0.7,-,^,^,22.8
Kazakhstan,14.3,13.6,33.9,-,2.6,0.1,64.5
Russian Federation,152.5,361.3,89.2,44.5,41.8,0.3,689.6
Turkmenistan,7.1,26.5,-,-,-,^,33.7
Ukraine,9.9,26.1,29.7,18.3,1.7,0.4,86.1
Uzbekistan,3.3,35.8,1,-,2.7,^,42.8
Other CIS,4.2,4.7,1.6,0.5,7,^,18
Total CIS,202.8,492.6,156.2,63.3,56.3,0.8,972
Iran,80.7,173.1,0.9,1.5,3.5,0.1,259.8
Iraq,36.8,8.5,-,-,0.8,^,46.1
Israel,10.8,8,5.7,-,^,0.4,24.9
Kuwait,20.4,18.1,0.2,-,-,^,38.8
Oman,9.4,19.7,0.1,-,-,^,29.2
Qatar,12.8,37.1,-,-,-,^,49.9
Saudi Arabia,173.8,90.6,0.1,-,-,^,264.5
United Arab Emirates,45.7,62.3,1.5,-,-,0.1,109.6
Other Middle East,25.5,20.3,0.4,-,0.3,0.3,46.8
Total Middle East,416,437.6,9.1,1.5,4.6,1,869.7
Algeria,19.7,33.2,^,-,^,0.1,53
Egypt,42,42.4,0.2,-,3,0.6,88.2
Morocco,12.8,1,4.3,-,0.3,0.8,19.1
South Africa,28.7,4,84.7,3.6,0.2,1.8,123
Other Africa,89.4,33.9,5.7,-,23.7,2,154.7
Total Africa,192.6,114.5,94.9,3.6,27.1,5.2,438
Australia,50.5,35.9,43.6,-,4,5.4,139.5
Bangladesh,6.7,22.7,2.2,-,0.2,0.1,31.9
China,587.2,180.1,1889.1,48.3,261,81.7,3047.2
China Hong Kong SAR,19.4,2.7,6.7,-,-,^,28.8
India,217.1,43.7,405.6,8.6,29,18.3,722.3
Indonesia,74.2,32.9,53.4,-,4.4,2.6,167.4
Japan,191.4,100.1,118.8,4,18.1,18.8,451.2
Malaysia,36.7,36.1,19.6,-,4.9,0.3,97.6
New Zealand,7.9,4.2,1.2,-,5.9,2.4,21.7
Pakistan,28.3,32.9,5.6,1.3,7.8,0.6,76.5
Philippines,20.6,3.3,11.7,-,1.8,3.1,40.6
Singapore,72.7,10.2,0.4,-,-,0.2,83.6
South Korea,128.9,41,81.9,36.7,0.6,3.1,292.2
Sri Lanka,5,-,1.3,-,1,0.1,7.4
Taiwan,48.6,17.2,38.6,7.2,1.5,1,114
Thailand,62.1,43.5,17.7,-,0.8,2.8,126.9
Vietnam,21.9,8.8,28.3,-,14.5,0.1,73.6
Other Asia Pacific,21.8,9.8,18.3,-,13,0.1,63.1
Total Asia Pacific,1601.1,625.1,2744,106,368.5,140.8,5585.5
Total World,4557.3,3073.2,3706,591.2,913.3,417.4,13258.5
of which: OECD,2190.6,1427.3,897.6,445.9,318.3,270.1,5549.8
                 Non-OECD,2366.7,1645.9,2808.4,145.4,594.9,147.3,7708.7
                 European Union ,635.5,385.9,239.5,190.1,79.2,136.3,1666.4
