Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2017,2006-16,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,3480.1,3675.5,3772.6,3994.2,4170.1,4298.2,4340.7,4564.7,4764.4,4596.4,4466.3,4741.9,4900.3,4844.4,4943.4,4773.5,4611.3,4374.6,4358.7,4557.8,4573.7,4585.5,4728.6,4948.8,5037.9,4953.0,4907.6,4986.8,5097.3,5174.7,5205.4,5386.9,5474.3,5508.8,5553.9,5726.9,5623.5,5652.8,5725.7,5826.5,5863.7,5787.9,5881.4,5704.0,5295.8,5508.3,5374.7,5168.6,5309.1,5360.1,5214.4,5129.5,5087.7,-0.5%,-1.2%,15.2%
Canada,259.9,271.1,284.9,307.3,319.2,343.8,350.7,367.0,386.2,392.5,389.3,408.3,432.6,418.4,425.4,434.8,415.3,402.7,384.5,404.6,399.8,389.3,402.6,433.0,452.4,447.3,429.0,440.8,434.9,450.0,461.2,470.5,484.9,498.6,504.4,526.1,523.9,534.8,546.9,540.2,541.9,528.5,551.6,545.9,502.1,525.7,532.1,513.6,529.1,538.0,529.9,543.0,560.0,3.4%,0.3%,1.7%
Mexico,62.1,65.0,66.6,72.2,79.1,84.2,89.5,99.7,107.7,120.8,131.1,138.9,146.5,165.1,180.2,198.1,211.0,221.3,217.8,226.5,233.9,230.4,239.9,240.9,253.8,267.9,277.3,280.3,283.8,307.5,294.8,306.1,319.3,336.6,333.5,353.2,351.9,371.3,372.8,390.3,416.2,426.8,428.9,431.6,433.0,442.4,465.4,473.7,474.0,461.7,457.4,488.7,473.4,-2.9%,1.4%,1.4%
Total North America,3802.1,4011.6,4124.2,4373.7,4568.4,4726.1,4780.9,5031.4,5258.2,5109.7,4986.7,5289.1,5479.5,5427.9,5549.0,5406.4,5237.6,4998.6,4961.0,5188.9,5207.4,5205.1,5371.2,5622.8,5744.2,5668.3,5613.9,5707.8,5816.0,5932.2,5961.4,6163.4,6278.5,6343.9,6391.9,6606.1,6499.3,6559.0,6645.4,6757.0,6821.9,6743.2,6861.9,6681.6,6230.9,6476.4,6372.2,6156.0,6312.2,6359.8,6201.7,6161.3,6121.1,-0.4%,-0.9%,18.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,77.2,79.5,81.7,84.1,86.8,80.4,85.1,86.6,89.7,91.7,87.7,92.7,97.3,97.0,101.4,98.1,93.4,93.8,96.1,92.9,88.5,101.7,106.4,111.1,107.6,101.4,103.1,109.6,106.5,109.4,113.0,123.0,117.5,123.4,123.2,124.8,115.9,110.2,119.7,130.0,138.5,143.5,156.7,160.2,152.7,166.2,169.2,175.6,182.5,183.8,187.0,187.3,183.7,-1.7%,2.7%,0.5%
Brazil,51.5,56.1,58.0,68.1,74.3,84.1,92.5,104.1,124.3,134.1,140.1,150.5,157.0,169.5,177.8,176.9,168.5,168.8,163.6,170.2,177.7,192.0,197.8,201.9,205.8,197.2,206.5,216.8,227.8,237.8,252.1,271.6,284.8,294.9,298.2,302.5,311.7,311.7,309.1,324.2,331.3,336.9,351.4,374.9,352.1,400.3,426.4,449.7,489.0,511.9,497.2,462.1,466.8,1.3%,3.2%,1.4%
Chile,16.7,17.9,18.3,18.7,19.9,20.9,22.4,22.4,21.6,20.7,18.0,18.9,19.6,20.8,21.5,22.1,22.5,19.2,19.4,20.6,20.2,20.9,21.6,25.5,30.8,31.7,32.7,33.4,35.6,38.8,42.3,47.6,54.9,56.4,58.3,56.4,53.8,55.3,55.3,60.2,61.5,65.4,76.5,77.4,74.3,76.1,87.0,89.4,91.1,88.4,88.9,94.2,92.3,-1.7%,3.7%,0.3%
Colombia,21.3,23.1,24.4,25.2,25.3,27.7,26.2,29.3,28.6,32.3,32.7,33.8,34.5,35.8,37.6,37.4,38.5,40.0,42.5,42.7,44.0,43.7,48.2,46.4,48.8,42.0,44.6,52.7,55.3,58.3,58.8,57.5,62.5,63.3,55.0,54.9,52.9,50.5,52.4,51.9,50.9,60.9,59.6,69.5,64.7,71.8,70.6,79.9,83.3,88.0,90.9,91.5,84.7,-7.1%,4.2%,0.3%
Ecuador,2.1,2.2,2.3,2.8,2.9,3.5,3.8,3.8,4.3,4.8,4.8,5.6,6.8,6.9,7.3,9.1,10.0,10.9,10.1,10.6,12.8,13.0,13.1,12.6,13.0,13.2,15.0,14.6,15.3,16.5,15.9,18.0,20.5,20.9,19.0,20.3,20.9,20.3,20.4,22.6,24.8,26.3,26.8,27.3,27.7,31.9,32.7,34.0,36.2,38.1,37.3,35.1,34.0,-2.9%,2.9%,0.1%
Peru,12.1,15.0,15.1,15.2,15.2,16.0,16.0,13.8,15.9,18.6,19.6,19.8,19.9,19.7,20.4,22.0,22.5,22.5,19.1,19.9,19.0,20.4,22.5,22.1,19.8,19.5,18.6,19.2,19.9,21.6,24.1,25.2,24.5,25.1,25.5,25.7,24.1,24.9,24.1,27.3,28.2,27.2,30.7,34.3,34.1,38.3,42.1,43.2,44.7,45.8,48.3,52.1,50.9,-2.1%,6.7%,0.2%
Trinidad & Tobago,7.8,8.1,8.6,8.9,9.2,9.7,9.9,14.3,14.2,13.3,10.2,11.7,11.7,11.0,9.1,8.6,9.6,9.9,9.0,8.1,8.4,9.1,8.0,8.3,8.0,9.6,9.1,10.6,10.7,10.2,11.3,11.8,10.8,10.3,12.4,12.9,14.0,15.9,17.6,18.6,18.7,23.4,26.0,26.3,25.1,26.8,26.7,26.1,27.4,26.8,26.3,24.0,23.8,-0.7%,0.3%,0.1%
